"","image_id","predefined_tags","people_n","ethnicities","sign_slogan_symbol","anger","fear","disgust","sadness","enthusiasm"
"984",14978,"Street protest, Police",12,"Black, White, non-Hispanic","protest sign, protest slogan (e.g. black lives matter; hands up, don't shoot!)",3,1,2,2,3
"985",124616,"Street protest",12,"White, non-Hispanic","protest sign",2,1,1,1,5
"986",185355,"Street protest",12,"Black, White, non-Hispanic","protest slogan (e.g. black lives matter; hands up, don't shoot!)",1,1,1,1,5
"987",89555,"Police",12,"Black, White, non-Hispanic","",1,1,1,1,1
"988",169019,"Street protest",12,"Black, White, non-Hispanic, Asian","",1,1,1,1,3
"989",59568,"Police",11,"White, non-Hispanic","",0,1,0,0,0
"990",56517,"Street protest, Police",11,"Black, White, non-Hispanic","",2,1,0,0,2
"991",138058,"Police",11,"Black, White, non-Hispanic","",0,1,0,0,0
"992",42511,"Street protest, Police",10,"White, non-Hispanic, Asian","",2,1,2,2,2
"993",44763,"Street protest, Police, Police vehicles",10,"Black, White, non-Hispanic","protest sign",1,1,1,0,0
"994",71778,"Police making arrest, Police, Police vehicles",10,"Black, White, non-Hispanic","",2,1,2,3,2
"995",77705,"Police, Police vehicles",10,"White, non-Hispanic, Latino, Hispanic","",2,1,2,5,3
"996",103940,"",10,"Black","protest sign",1,1,1,1,1
"997",37111,"",10,"Black","",1,1,1,1,1
"998",69912,"Street protest",10,"Black","protest sign",2,1,1,1,4
"999",52493,"Street protest",10,"Black, White, non-Hispanic","protest sign",2,1,1,1,3
"1000",96792,"Police making arrest, Police",9,"White, non-Hispanic, Asian","",3,1,4,3,2
"1001",121979,"Person who is injured",9,"Black, White, non-Hispanic","",0,1,2,6,1
"1002",61519,"Street protest, Advertisement for protest or BLM event, Headshot, Headshot identified/identifiable as someone killed by police brutality",9,"Black, Latino, Hispanic","protest sign, protest slogan (e.g. black lives matter; hands up, don't shoot!)",2,1,2,1,4
"1003",48796,"Street protest",9,"Black, White, non-Hispanic","protest sign",4,1,3,1,3
"1004",182245,"Picture of or including John Legend, Police",9,"Black, White, non-Hispanic","",2,1,0,0,5
"1005",14456,"",8,"","protest slogan (e.g. black lives matter; hands up, don't shoot!)",2,1,2,1,2
"1006",45646,"Police making arrest, Police",8,"Black, White, non-Hispanic","",0,1,2,1,2
"1007",75499,"Person who is injured",8,"Black, White, non-Hispanic","",1,1,0,5,2
"1008",83357,"",8,"Black, White, non-Hispanic, Latino, Hispanic","",1,1,1,1,5
"1009",109135,"Street protest",8,"Black, White, non-Hispanic, Latino, Hispanic","",1,1,1,1,6
